id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Lillie,-0.1,1.64,0.29,0.3,-0.64,0.33,-0.05,-0.05,0.08,-1.28,0.03,-0.11,-0.05,0.06,-6.53,-0.05,0.14,0.11,0.06,0.15,0.02,-0.01
27,Liotard,0.9,0.26,0.9,0.63,0.03,0.29,0.32,0.22,-1.25,-1.0,0.41,0.27,0.2,0.09,-0.92,0.35,0.36,0.21,0.03,-0.01,0.03,-0.03
132,Mandible_Cirque,0.02,-0.12,0.0,0.0,0.08,0.0,0.01,0.03,0.01,0.0,-0.09,0.0,0.06,0.0,0.01,-0.01,0.0,0.01,0.0,0.01,0.0,0.0
134,Manhaul,0.02,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,0.0,0.0
127,Marin,0.0,-0.14,-0.01,0.01,0.0,0.0,-0.01,-0.01,0.03,-0.03,0.0,0.01,0.02,0.0,0.0,0.01,-0.02,-0.06,0.01,0.02,0.0,0.0
83,Mariner,1.97,0.43,0.8,1.13,-0.98,0.98,0.83,0.52,0.99,-0.07,0.49,0.79,0.55,0.36,-4.48,-1.05,0.78,0.28,0.36,0.15,0.29,-0.15
149,Marret,-0.41,0.31,0.44,0.42,-0.39,0.34,0.39,0.14,0.08,-0.75,0.03,0.06,-0.04,0.04,-0.05,0.39,0.31,0.0,0.02,0.42,0.5,-0.06
88,Matusevitch,13.0,-72.0,0.71,1.32,-6.14,3.69,-3.97,3.21,3.63,-6.44,4.86,4.49,2.32,5.33,4.22,-21.18,-0.82,0.12,0.54,0.3,0.56,-0.51
26,May_Glacier,-3.64,-6.21,1.73,1.52,0.68,2.09,1.24,1.54,2.37,0.58,-0.77,-1.06,0.7,1.17,0.39,0.41,0.83,0.93,1.04,0.81,-9.28,-0.13
142,McLeod,0.12,0.04,0.09,0.08,0.02,0.03,0.04,0.03,-0.11,-0.17,0.07,0.02,0.02,0.01,-0.1,0.16,0.02,0.02,0.01,0.01,0.01,0.0
48,Mendelssohn,0.38,0.09,0.31,0.33,-0.32,-3.42,0.07,2.75,-7.44,-1.49,0.55,-0.56,0.07,0.16,-2.06,0.2,-0.49,0.03,0.1,0.03,0.09,-0.01
91,Mertz,13.84,5.52,5.64,6.09,-8.97,10.47,3.72,5.07,13.66,-11.14,-544.82,3.06,7.02,13.18,10.81,17.72,18.36,12.98,11.56,12.08,10.83,7.51
96,Morse,-0.84,0.05,0.35,0.36,-0.01,-0.01,-0.16,0.03,0.18,0.03,-0.2,0.08,0.02,0.06,0.05,-0.3,0.0,0.01,0.01,-0.02,0.02,0.0
157,Moscow_University,14.17,-2.04,18.44,9.72,-8.44,10.43,2.89,-0.37,-0.94,-14.41,3.14,-11.61,10.76,11.44,10.94,8.23,-5.56,5.09,-38.65,2.27,2.15,-7.59
85,Moubray,0.16,0.69,0.1,0.16,-0.19,0.14,0.05,0.05,0.13,-0.01,0.07,0.02,0.11,0.12,-0.03,-0.35,0.25,0.04,0.05,0.04,0.01,-0.01
117,Mulebreen,2.31,0.32,0.65,0.61,-0.9,0.78,-1.95,0.43,2.25,-1.15,-10.8,0.21,0.28,0.54,0.76,-1.28,0.95,0.01,0.1,0.12,0.16,-0.06
13,Myers,-2.38,-3.64,0.44,0.57,1.32,-2.36,0.18,0.45,0.98,0.64,-3.62,0.11,0.03,0.17,-0.13,5.72,0.02,0.04,0.02,0.02,0.01,-0.08
64,Nickerson,8.4,-14.27,4.14,3.94,-3.07,3.19,-11.57,-1.88,7.07,-10.04,3.0,-5.29,2.7,2.41,2.62,3.78,4.85,2.89,2.01,1.21,0.82,0.01
162,Ninnis,-239.25,22.33,37.37,31.51,0.25,32.26,15.02,21.72,37.93,8.83,23.0,12.86,-0.11,22.61,13.4,14.04,23.06,-6.44,18.48,20.9,18.73,-396.71
122,Nivl,2.12,0.24,0.64,1.17,-1.62,0.76,0.84,0.58,1.13,0.16,0.65,0.86,0.59,0.81,-0.02,-1.57,-0.02,0.06,0.24,0.02,0.27,-0.01
87,Noll,0.7,-1.16,0.26,0.25,-0.58,0.49,0.2,0.25,0.16,-0.02,0.45,0.34,0.52,0.38,0.36,-0.41,0.27,-3.02,0.1,-0.02,-0.01,0.0
72,Nordenskjold,0.89,0.41,0.25,0.62,-0.17,0.56,0.51,0.02,0.55,0.0,-0.08,0.06,-0.05,0.5,-0.05,-0.32,1.79,-0.36,0.28,0.19,0.39,-0.09
129,Parker,0.07,0.05,0.05,0.05,-0.1,0.06,-0.07,-0.02,0.14,-0.1,0.05,-0.1,-0.04,0.04,0.05,-0.84,0.01,0.0,0.01,0.0,-0.02,0.0
141,Paternostro,0.02,0.0,0.01,0.01,0.01,-0.01,0.01,0.01,-0.02,-0.07,0.01,0.01,0.0,0.01,-0.02,0.14,0.01,0.0,0.0,0.0,0.01,0.0
169,Perkins,0.33,0.02,0.14,0.08,0.21,-0.36,0.15,0.17,0.1,0.12,-1.35,0.01,-0.01,0.0,-0.12,0.06,0.04,0.01,0.0,0.0,0.0,0.0
2,Philbin_Inlet,0.37,-0.34,0.29,0.21,-0.66,0.32,-0.61,0.02,1.17,-0.89,0.31,-0.61,0.05,0.11,0.18,-0.35,0.0,0.0,0.0,0.0,0.01,0.0
55,Pine_Island,65.55,-235.46,66.79,-0.86,30.74,48.41,69.66,46.12,93.96,-305.84,51.05,35.78,48.45,52.24,-263.94,45.82,-159.89,45.47,-57.66,-117.22,-90.78,50.59
14,Porter,0.99,-0.43,0.12,0.1,-0.19,0.13,0.14,0.23,0.17,-0.6,0.07,0.13,0.23,0.17,-0.61,0.24,-0.7,0.02,0.03,0.03,0.0,0.0
95,PourquoiPas,1.16,3.54,7.73,7.38,0.3,8.07,3.39,-15.7,8.41,-8.47,8.15,5.88,6.47,6.99,6.05,8.03,4.48,1.98,1.64,0.94,0.88,0.0
158,Prince_Harald,16.75,-142.57,2.65,2.54,-9.96,6.88,6.14,5.63,5.24,-3.63,6.63,6.69,5.94,5.89,0.07,17.68,11.45,-32.48,-0.09,-0.17,-0.14,-1.26
104,Publications,4.28,-1.11,-1.21,0.68,-47.04,1.68,-2.33,1.8,-22.47,-1.82,3.59,4.36,4.44,3.94,3.7,-11.99,-5.52,0.05,0.69,0.94,1.03,0.83
38,Quar,-6.18,-0.52,0.9,0.96,-1.27,1.0,0.27,0.9,0.94,0.31,0.99,0.08,0.87,0.63,0.82,-4.68,0.12,0.1,0.04,0.06,0.03,0.0
136,Quatermain_Point,0.0,0.04,0.0,0.01,-0.02,0.02,0.04,0.01,0.03,0.0,0.06,0.04,0.02,0.04,0.02,-0.16,0.0,0.0,0.0,0.0,0.0,0.0
12,Rayner_Thyer,12.91,2.28,4.68,4.52,-1.12,3.5,0.86,0.27,-1.52,-3.01,-5.96,2.15,3.97,3.62,2.96,2.57,0.51,-17.41,0.03,0.02,0.0,0.0
86,Rennick,1.99,0.51,1.05,0.85,-0.59,0.86,0.31,0.59,1.21,-0.81,0.33,0.47,0.51,0.61,0.56,-0.52,0.49,0.26,0.2,0.07,0.08,-0.19
67,Richter,1.85,0.68,0.9,0.78,-1.24,0.77,0.03,-0.45,1.86,-2.35,-0.01,-1.07,0.45,0.54,0.07,-1.34,0.3,0.24,0.42,0.33,0.17,-0.02
